商品名称,价格,简介
小米Redmi显示器1A 23.8英寸,779.00元,商品编号:100013455568;商品毛重:3.75kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:60Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:IPS技术;对比度:1000:1;屏幕比例:16:9;接口:HDMI，VGA;
小米小米显示器,849.00元,商品编号:100010424021;商品毛重:5.7kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:1000:1;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:HDMI，VGA，音频/耳机输出;特性:节能认证;屏幕比例:16:9;
KKTVK24QB,799.00元,商品编号:100012087833;商品毛重:3.16kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:75Hz;分辨率:其他;售后服务:1年质保;面板:其他;接口:HDMI，VGA;
AOC24B2XH,849.00元,商品编号:100005855828;商品毛重:3.9kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS技术;接口:HDMI，VGA，音频/耳机输出;特性:可壁挂;屏幕比例:16:9;
AOC27B2H,999.00元,商品编号:100005855774;商品毛重:4.99kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:1000:1;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS技术;接口:HDMI，VGA，音频/耳机输出;特性:可壁挂;屏幕比例:16:9;
华为AD80HW,799.00元,商品编号:100025121740;商品毛重:5.41kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:75Hz;售后服务:1年质保;面板:IPS技术;接口:HDMI，VGA;屏幕比例:16:9;
康佳KKTV显示器2K电脑显示器便携24英寸高刷新率电竞全面屏游戏曲面高清液晶显示屏 【24英寸 2K】直面 黑色,759.00元,商品编号:70162060379;店铺: KKTV显示器旗舰店;商品毛重:4.0kg;屏幕尺寸:23.5-24英寸;屏幕刷新率:其他;面板:其他;售后服务:1年质保;屏幕比例:16:9;特性:可壁挂;接口:HDMI，VGA;
AOC22B2HN,769.00元,商品编号:100021592292;商品毛重:3.35kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;分辨率:1920*1080dpi;对比度:3000:1;屏幕刷新率:75Hz;售后服务:3年质保;面板:VA;接口:HDMI，VGA，音频/耳机输出;特性:节能认证，TUV爱眼认证;屏幕比例:16:9;
AOCU2790PQU,1899.00元,商品编号:100001071956;商品毛重:8.3kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:3840*2160dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，USB扩展/充电，音频/耳机输出;特性:旋转升降底座;屏幕比例:16:9;
三星C27R502FHC,1099.00元,商品编号:100003374425;商品毛重:6.35kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:3000:1;屏幕刷新率:60Hz;面板:VA;售后服务:1年质保;接口:HDMI，VGA，音频/耳机输出;屏幕比例:16:9;特性:FreeSync，可壁挂;曲率:1800R;
